topology,dropped_edges,hardware_delta_target_probability,sim_delta_target_probability,target_sign_match,hardware_target_sign,sim_target_sign,hardware_delta_abs_parity,sim_delta_abs_parity,parity_sign_match,hardware_parity_sign,sim_parity_sign,hardware_delta_entropy,sim_delta_entropy,entropy_sign_match,hardware_entropy_sign,sim_entropy_sign,hardware_baseline_target_probability,hardware_k1_target_probability,sim_baseline_target_probability,sim_k1_target_probability,hardware_baseline_abs_parity,hardware_k1_abs_parity,sim_baseline_abs_parity,sim_k1_abs_parity,backend_name,baseline_job_id,k1_job_id,hardware_chain_minus_ring_delta_target,sim_chain_minus_ring_delta_target,ranking_match_chain_gt_ring
chain6,e2,-0.00830078125,-0.006591796875,True,negative,negative,0.1396484375,0.25537109375,True,positive,positive,-0.23701224160277956,-0.2448032067567798,True,negative,negative,0.03369140625,0.025390625,0.030029296875,0.0234375,0.025390625,0.1650390625,0.01123046875,0.2666015625,ibm_fez,d7lp7atqrg3c738kd76g,d7lp7cit99kc73d1m840,0.006591796875,0.015869140625,True
ring6,e0,-0.014892578125,-0.0224609375,True,negative,negative,0.00732421875,-0.08251953125,False,positive,negative,-0.17729344746181308,-0.1964210120290026,True,negative,negative,0.034423828125,0.01953125,0.044677734375,0.022216796875,0.0244140625,0.03173828125,0.083984375,0.00146484375,ibm_fez,d7lp7ebaq2pc73a0r870,d7lp7fs3g2mc7391ki60,0.006591796875,0.015869140625,True
