topology,n_records,corr_delta_target_vs_delta_entropy,corr_delta_abs_parity_vs_delta_entropy,corr_delta_target_vs_remaining_edge_ratio,corr_delta_entropy_vs_remaining_edge_ratio,mean_order_entropy_coupling,mean_delta_target_probability,mean_delta_entropy
chain6,25,-0.8737644413390824,-0.6151393024943037,-0.3695373199243296,0.5803389478400984,0.29424019392738027,0.152080078125,-1.3511597970697955
random6,41,-0.6708778672262654,-0.7397550507069083,-0.2989245457822793,0.6010554135776948,0.09144313316031798,0.06691834984756098,-0.9788789375090263
ring6,41,-0.4675125905192121,-0.6282736548749793,-0.3505938539517933,0.6083877804456287,0.02960802303769491,0.016667063643292682,-0.7194070884666071
